"","fbi","TN","group","CN","SN","Hand","ri","rt","ti","Handdeg"
"19453",1,209,"sevenpointfive",27,"2",-0.134521002916195,7.5,0.421751022339,90,-7.70748572296501
"19454",1,209,"sevenpointfive",27,"3",0.084071031713475,7.5,0.491231918335,135,4.81691529649262
"19455",1,209,"sevenpointfive",27,"4",-0.286445142484379,7.5,0.497835159302,90,-16.4120977263784
"19456",1,209,"sevenpointfive",27,"5",-0.169667691197584,7.5,0.748754024506,270,-9.72124262535051
"19457",1,209,"sevenpointfive",27,"6",0.0294032882040053,7.5,0.605366945267,180,1.6846843178963
"19458",1,209,"sevenpointfive",27,"7",-0.159351640903916,7.5,0.411201000214,225,-9.13017648227864
"19459",1,209,"sevenpointfive",27,"8",-0.167431778470523,7.5,0.392163991928,0,-9.59313426273033
"19460",1,209,"sevenpointfive",27,"9",-0.195737186577467,7.5,0.554934024811,45,-11.2149146846536
"19461",1,209,"fifteen",27,"1",-0.113680970057777,15,0.667984008789,0,-6.5134397952637
"19462",1,209,"fifteen",27,"10",0.0284620627969476,15,0.48083114624,0,1.63075607450141
"19463",1,209,"fifteen",27,"2",-0.0459041256739876,15,0.667221069336,90,-2.63011266335762
"19464",1,209,"fifteen",27,"3",-0.311750887709976,15,0.461061000824,225,-17.8620101252385
"19465",1,209,"fifteen",27,"4",-0.178092938231198,15,0.604084014893,0,-10.2039737217317
"19466",1,209,"fifteen",27,"5",0.126228821210579,15,0.504042863846,135,7.23237870827762
"19467",1,209,"fifteen",27,"6",-0.208147833640982,15,0.510690927505,90,-11.9259923824194
"19468",1,209,"fifteen",27,"7",-0.350981991768862,15,0.029639005661,270,-20.1097868134512
"19469",1,209,"fifteen",27,"8",-0.149231886389127,15,0.458896160126,180,-8.55035725887277
"19470",1,209,"fifteen",27,"9",-0.529655653343047,15,0.500488996506,225,-30.3470335318008
"19471",1,209,"thirty",27,"1",-0.287575830780447,30,0.431850910187,225,-16.476881393688
"19472",1,209,"thirty",27,"10",0.0368836343680219,-30,0.934587955475,270,2.11327658239133
"19473",1,209,"thirty",27,"2",-0.0525830616109411,30,0.481830835342,270,-3.0127875041833
"19474",1,209,"thirty",27,"3",0.0867383386759856,30,0.629348039627,315,4.96974072811033
"19475",1,209,"thirty",27,"4",-0.0173142869233868,30,0.595221042633,180,-0.992035565988615
"19476",1,209,"thirty",27,"5",-0.0591643194250271,30,0.500408172607,0,-3.38986580081793
"19477",1,209,"thirty",27,"6",-0.284957350250155,30,0.673491954803,90,-16.3268535105651
"19478",1,209,"thirty",27,"7",0.41549209594089,-30,0.497534036636,90,23.8059435184577
"19479",1,209,"thirty",27,"8",0.372789780393303,-30,0.643736839294,45,21.3592810621451
"19480",1,209,"thirty",27,"9",0.306257157749584,-30,0.623090028763,90,17.5472425847234
"19481",1,209,"fourtyfive",27,"1",-0.388732882572061,45,0.566993951797,225,-22.2727535293337
"19482",1,209,"fourtyfive",27,"10",-0.0940612346279856,45,0.424257993698,270,-5.38931175997337
"19483",1,209,"fourtyfive",27,"2",-0.321750554396642,45,0.538990020752,270,-18.434948822922
"19484",1,209,"fourtyfive",27,"3",-0.134627392685352,45,0.616019964218,315,-7.71358140772108
"19485",1,209,"fourtyfive",27,"4",-0.286051441717318,45,0.57356595993,180,-16.3895403340348
"19486",1,209,"fourtyfive",27,"5",-0.248832208599148,45,0.516918182373,0,-14.2570353596501
"19487",1,209,"fourtyfive",27,"6",-0.0275520812477592,45,0.58846616745,90,-1.57861797229814
"19488",1,209,"fourtyfive",27,"7",-0.127604750980301,45,0.49779510498,90,-7.3112136769891
"19489",1,209,"fourtyfive",27,"8",-0.232979239077103,45,0.48824596405,45,-13.3487271132874
"19490",1,209,"fourtyfive",27,"9",-0.343023940420704,45,0.437331199646,90,-19.6538240580533
"19491",1,209,"sixty",27,"1",-0.141274777148704,60,0.457041978836,180,-8.09444848227199
"19492",1,209,"sixty",27,"10",0.0884386558471767,-60,0.451259851456,0,5.0671617258532
"19493",1,209,"sixty",27,"2",-0.661481188971601,60,0.411222934723,45,-37.9000803553684
"19494",1,209,"sixty",27,"3",-0.231261112055334,60,0.466925144196,315,-13.2502856862726
"19495",1,209,"sixty",27,"4",-0.144197664042197,60,0.584282159805,135,-8.26191756526324
"19496",1,209,"sixty",27,"5",-0.242118804384058,60,0.459541082382,0,-13.8723856319601
